;modelo;combustivel;preco;ano;km;cor;cambio;cidade;airbag motorista;freios ABS;airbag passageiro;ar-condicionado;direção elétrica;volante com regulagem de altura;travas elétricas;cd player com MP3;entrada USB;vidros elétricos dianteiros;limajuste de alturap. traseiro;desemb. traseiro;alarme;ajuste de altura;distribuição eletrônica de frenagem,;controle de tração;retrovisores elétricos;piloto automático;Kit Multimídia;bancos de couro;limp. traseiro;motor
52;Volkswagen Voyage;Flex;64000.0;2021;31.623;Branco;0;Juazeiro do Norte;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1600.0
53;Fiat Doblò  Essence 7l;Flex;78500.0;2021;55.957;Prata;0;São José dos Campos;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1800.0
54;Toyota Corolla  Altis Premium CVT;Flex;152290.0;2022;50.188;Branco;1;São José;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2000.0
55;Fiat Argo;Flex;59490.0;2021;83.484;Prata;0;Bauru;1;1;1;1;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1000.0
56;Jeep Renegade  T270 Longitude;Flex;136730.0;2022;30.445;Cinza;1;Campinas;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;1;1;1300.0
57;Fiat Mobi  Like;Flex;54720.0;2021;42.007;Cinza;0;Londrina;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
58;Fiat Argo;Flex;62410.0;2021;59.651;Prata;0;Pato Branco;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1000.0
59;Peugeot 208  Active;MultiFlex (Alc;77240.0;2022;40.152;Branco;1;Pelotas;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1600.0
60;Hyundai Creta  Action;Flex;98560.0;2022;60.712;Branco;1;Londrina;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1600.0
61;Volkswagen T-Cross  250 TSI Highline;Flex;121610.0;2021;65.8;Azul;1;Cuiabá;1;1;0;1;1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;1;1;1400.0
62;Fiat Uno  Attractive;Flex;49900.0;2021;77.108;Prata;0;Goiânia;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1000.0
63;Fiat Uno  Attractive;Flex;49990.0;2021;67.734;Prata;0;Mossoró;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
64;Volkswagen Gol;Flex;55600.0;2021;53.156;Branco;0;Guarapuava;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1000.0
65;Fiat Grand Siena  Attractive;Flex;57500.0;2021;45.002;Preto;0;São José dos Campos;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1400.0
66;Fiat Argo  Drive;Flex;64270.0;2021;43.93;Prata;0;Ponta Grossa;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1000.0
67;Fiat Argo;Flex;64490.0;2022;40.306;Branco;0;Natal;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;1;1000.0
68;Volkswagen Nivus  200 TSI Highline;Flex;118990.0;2021;25.202;Cinza;1;São Carlos;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1000.0
69;Volkswagen T-Cross  250 TSI Highline;Flex;120140.0;2021;44.063;Cinza;1;São José;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1400.0
70;Fiat Argo  Drive;Flex;58880.0;2019;67.248;Branco;0;Pato Branco;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1000.0
71;Fiat Argo  Drive;Flex;60990.0;2021;70.994;Branco;0;Sorocaba;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1000.0
72;Fiat Mobi  Like;Flex;51900.0;2021;23.107;Branco;0;Bauru;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1000.0
