modelo,combustivel,preco,ano,km,cor,cambio,cidade,airbag motorista,freios ABS,airbag passageiro,ar-condicionado,direção elétrica,volante com regulagem de altura,travas elétricas,cd player com MP3,entrada USB,vidros elétricos dianteiros,limajuste de alturap. traseiro,desemb. traseiro,alarme,ajuste de altura,distribuição eletrônica de frenagem,controle de tração,retrovisores elétricos,piloto automático,Kit Multimídia,bancos de couro,limp. traseiro,motor
Volkswagen Fox,Flex,33500.0,2010,140.0,Preto,0,Rio das Ostras,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1600.0
Fiat Palio Fire,Flex,23900.0,2013,33.0,Branco,0,Passo Fundo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Nissan March  S,Flex,35800.0,2013,155.466,Preto,0,Cascavel,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1000.0
Renault Sandero Privilege,Flex,33490.0,2012,90.816,Vermelho,1,São Paulo,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1600.0
Fiat Idea Attractive,Flex,32900.0,2011,123.0,Prata,0,Curitiba,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1400.0
Renault Logan Expression  Hi-Torque,Flex,28900.0,2013,190.0,Preto,0,São Paulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600.0
Renault Sandero Expression,Flex,27000.0,2011,150.67,Prata,0,São Paulo,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1600.0
Chevrolet Classic Spirit,Flex,26900.0,2008,217.0,Prata,0,Bauru,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1000.0
Ford Ka Sedan SE Plus  16v,Flex,38900.0,2015,67.587,Prata,0,Nova Iguaçu,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1500.0
Volkswagen Fox  VHT,GNV,33900.0,2013,175.0,Branco,0,São Pedro da Aldeia,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1000.0
Nissan Livina SL,Flex,33890.0,2011,140.0,Prata,1,Paulínia,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1800.0
Fiat Uno Vivace,Flex,35900.0,2012,120.0,Preto,0,São Paulo,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Chevrolet Montana Sport,Flex,36900.0,2006,156.762,Prata,0,Poços de Caldas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800.0
Renault Logan Expression,Flex,25900.0,2011,153.0,Prata,0,São Paulo,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1000.0
Chevrolet Astra Hatch Advantage,Flex,31900.0,2009,175.0,Prata,0,São Carlos,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,2000.0
Honda Fit LX,Flex,38897.0,2009,134.4,Cinza,0,São Paulo,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1400.0
Volkswagen Fox  VHT,Flex,32990.0,2011,73.333,Prata,0,Barretos,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1000.0
Volkswagen Gol  TEC Trendline,Flex,34900.0,2014,76.0,Branco,0,Manaus,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Volkswagen Fox Plus,Flex,29890.0,2007,124.0,Vermelho,0,São Paulo,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1600.0
Renault Sandero Expression,Flex,35900.0,2014,100.0,Prata,0,Goiânia,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1600.0
Chevrolet Classic LS VHC E,Flex,28900.0,2012,85.0,Preto,0,Bauru,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1000.0
Volkswagen Gol,Flex,33000.0,2010,144.0,Preto,0,Mococa,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1600.0
Volkswagen Voyage  Total Flex,Flex,32900.0,2011,192.83,Prata,0,São José do Rio Preto,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Polo Hatch.  E-Flex,Flex,34900.0,2008,169.0,Preto,0,Gravataí,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1600.0
Renault Sandero Expression,Flex,38700.0,2014,122.845,Branco,0,Catanduva,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1000.0
Renault Sandero Expression,Flex,34900.0,2013,95.263,Branco,0,Curitiba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Citroën C3 Exclusive,Flex,28800.0,2011,105.0,Prata,0,Guarulhos,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1400.0
